Feature,Importance,Percentage
ngcm_k_rb_ratio,0.337795924330864,33.7795924330864
ngcm_li_ppm,0.23099569716107637,23.099569716107638
radiometric_u_th_ratio,0.05034966780070615,5.034966780070615
radiometric_k_pct,0.04368657793558405,4.3686577935584054
radiometric_ternary_index,0.035092985598160396,3.5092985598160396
crosta_pc_al_oh,0.03455765878825795,3.455765878825795
bouguer_gravity_mgal,0.02482987594108323,2.482987594108323
granite_contact_dist_km,0.024127612548936,2.4127612548936
aeromag_rtp_residual,0.023853029037378664,2.3853029037378666
elevation_dem,0.023375142021756654,2.337514202175665
cardoso_lpi,0.02050107561424336,2.050107561424336
fault_distance_km,0.02022487849690139,2.022487849690139
al_oh_mica_ratio,0.019859277100069555,1.9859277100069554
cardoso_lmdr,0.01535106780853829,1.535106780853829
ndci_clay,0.01476052295986218,1.476052295986218
gravity_gradient_fvd,0.013128423227165708,1.3128423227165709
lineament_density,0.01244796352308843,1.244796352308843
slope_deg,0.01030943777268348,1.030943777268348
ree_composite_index,0.009517879186129181,0.9517879186129181
cardoso_ehi,0.006782506160222488,0.6782506160222488
sar_roughness_ratio,0.005469985690376112,0.5469985690376112
fe3_oxide,0.005411867403582157,0.5411867403582157
cardoso_pi_2,0.005371179526470098,0.5371179526470098
cardoso_pi_1,0.004331003452513518,0.43310034525135177
aster_quartz_index_qi,0.0028812481055288906,0.2881248105528891
sar_cband_vh_db,0.0025039042182319494,0.25039042182319493
ree_nd_absorption,0.0024836085905896718,0.24836085905896718
