Sr No.,sample_id,from_m,to_m,width_m,lithology,li_mica_pct,li_ppm,li2o_pct,cs_ppm,be_ppm,rb_ppm,ta_ppm,nb_ppm,sn_ppm,w_ppm,mo_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,eu_ppm,sm_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,total_ree_ppm,borehole_id
14,KRKC-11/17,17.5,18.0,0.5,Leucogranite,20,360.0,775.08,68.82,14.03,362.04,2.91,14.72,9.89,4.06,0.53,10.34,22.13,2.39,9.28,0.54,2.33,2.33,0.43,2.36,0.38,0.73,0.15,0.91,0.12,54.41999999999999,KRKC-11
15,KRKC-11/18,18.0,18.5,0.5,Leucogranite,20,275.0,592.075,52.21,21.15,317.35,2.37,11.94,7.39,2.88,0.81,8.92,17.75,2.09,7.23,0.52,2.04,1.98,0.39,2.2,0.36,0.75,0.14,0.73,0.1,45.2,KRKC-11
16,KRKC-11/19,18.5,19.0,0.5,Leucogranite,20,275.0,592.075,36.11,17.61,221.73,1.86,8.31,5.36,1.92,<0.5,6.46,13.24,1.6,5.55,0.33,1.57,1.34,0.26,1.53,0.22,0.4,0.08,0.53,0.06,33.17,KRKC-11
17,KRKC-11/21,21.0,21.5,0.5,Leucogranite,20,310.0,667.4300000000001,39.27,9.38,335.88,2.94,11.76,6.64,2.91,<0.5,10.95,23.54,2.4,9.59,0.52,2.57,2.2,0.48,2.61,0.42,0.9,0.16,0.91,0.13,57.37999999999999,KRKC-11
18,KRKC-11/23,22.0,22.5,0.5,Leucogranite,20,285.0,613.605,44.94,54.91,337.12,3.05,14.29,5.86,2.53,0.7,11.36,25.89,2.82,10.13,0.55,2.61,2.36,0.48,2.33,0.41,0.7,0.14,0.82,0.11,60.709999999999994,KRKC-11
19,KRKC-11/25,23.0,23.5,0.5,Leucogranite,20,225.0,484.425,51.53,10.84,313.1,2.77,11.71,4.93,1.28,<0.5,9.16,18.66,2.11,7.7,0.5,2.14,1.75,0.37,2,0.37,0.6,0.12,0.74,0.09,46.31,KRKC-11
20,KRKC-11/27,24.0,24.5,0.5,Leucogranite,20,300.0,645.9,47.86,15.23,323.53,2.68,12.12,5.61,2.29,<0.5,9.93,20.83,2.43,8.86,0.43,2.23,2.02,0.41,2.14,0.37,0.73,0.13,0.83,0.1,51.43999999999999,KRKC-11
21,KRKC-11/28,24.5,25.0,0.5,Leucogranite,15-20,310.0,667.4300000000001,48.19,11.8,357.71,3.49,11.38,6.16,3.97,<0.5,12.13,25.48,2.84,10.97,0.53,2.73,2.34,0.5,2.68,0.44,0.93,0.14,0.95,0.13,62.79,KRKC-11
22,KRKC-11/29,25.5,26.0,0.5,Leucogranite,15,295.0,635.135,68.56,9.77,391.14,4.29,12.64,7.61,2.89,<0.5,10.44,20.11,2.44,8.37,0.45,2.35,2.02,0.4,2.09,0.33,0.71,0.12,0.7,0.1,50.63,KRKC-11
23,KRKC-11/31,28.5,29.0,0.5,Leucogranite,15-20,270.0,581.3100000000001,59.33,41.47,338.37,2.67,11.77,8.32,3.11,<0.5,8.32,16.84,1.85,6.93,0.47,2.06,1.83,0.34,1.94,0.33,0.67,0.12,0.6,0.09,42.39,KRKC-11
24,KRKC-11/33,29.5,30.0,0.5,Leucogranite,15-20,260.0,559.78,61.6,9.36,359.97,2.28,11.88,5.27,2.37,<0.5,8.73,16.41,1.91,6.97,0.46,1.96,1.6,0.37,2.06,0.3,0.67,0.12,0.74,0.1,42.400000000000006,KRKC-11
25,KRKC-11/34,30.0,30.5,0.5,Leucogranite,15-20,325.0,699.725,65.21,14.51,382.85,3.64,12.46,3.34,1.39,<0.5,9.24,18.27,2.06,7.69,0.43,2.2,1.82,0.35,1.92,0.31,0.58,0.11,0.61,0.08,45.67,KRKC-11
26,KRKC-11/35,30.5,31.0,0.5,Leucogranite,15-20,255.0,549.015,61.95,35.56,413.98,5.33,16.69,6.46,2.08,<0.5,9.32,19.21,2.13,7.73,0.48,2.08,1.99,0.4,2.07,0.35,0.72,0.14,0.75,0.1,47.47,KRKC-11
27,KRKC-11/37,32.0,32.5,0.5,Leucogranite,10 to 15,320.0,688.96,57.5,8.88,371.52,11.4,19.64,7.21,1.9,<0.5,8.91,19.05,2.2,7.5,0.53,2.14,2.06,0.39,2.28,0.37,0.73,0.13,0.72,0.1,47.11,KRKC-11
28,KRKC-11/39,33.0,33.5,0.5,Leucogranite,10 to 15,1000.0,2153.0,42.76,15.4,603.39,5.19,66.52,36.21,14.57,0.54,12.28,23.93,2.64,9.85,0.14,2.34,1.91,0.36,1.82,0.28,0.48,0.1,0.56,0.07,56.760000000000005,KRKC-11
29,KRKC-11/41,34.0,34.5,0.5,Leucogranite,10 to 15,270.0,581.3100000000001,39.82,9.17,301.97,1.96,11.36,31.97,15.5,0.55,10.1,19.23,2.4,8.0,0.46,2.23,1.78,0.41,1.94,0.33,0.67,0.12,0.64,0.1,48.40999999999999,KRKC-11
30,KRKC-11/43,35.0,35.5,0.5,Leucogranite,10 to 15,305.0,656.665,28.92,8.76,330.56,2.13,12.43,6.18,2.54,<0.5,8.96,16.89,1.99,7.49,0.51,1.98,1.76,0.37,1.92,0.32,0.71,0.12,0.8,0.09,43.90999999999999,KRKC-11
31,KRKC-11/45,36.0,36.5,0.5,Leucogranite,10 to 15,255.0,549.015,30.91,8.14,304.62,1.78,10.58,5.21,1.1,<0.5,11.55,20.63,2.56,9.42,0.6,2.51,2.41,0.47,2.4,0.37,0.77,0.15,0.83,0.12,54.79,KRKC-11
32,KRKC-11/47,37.0,37.5,0.5,Leucogranite,10 to 15,290.0,624.37,34.7,7.93,331.52,2.07,11.4,5.38,2.25,<0.5,10.91,20.79,2.33,8.26,0.51,2.27,2.11,0.42,2.27,0.36,0.81,0.14,0.85,0.11,52.14000000000001,KRKC-11
33,KRKC-11/49,38.0,38.5,0.5,Leucogranite,10 to 15,315.0,678.195,35.32,40.19,318.48,1.78,10.56,3.62,1.32,<0.5,11.96,21.86,2.7,9.43,0.62,2.51,2.43,0.47,2.41,0.41,0.81,0.14,0.87,0.1,56.72,KRKC-11
34,KRKC-11/51,39.0,39.5,0.5,Leucogranite,10 to 15,350.0,753.55,55.61,19.14,423.16,2.64,12.89,6.39,2.38,<0.5,11.56,22.13,2.7,9.5,0.51,2.4,2.28,0.45,2.09,0.36,0.66,0.12,0.74,0.1,55.6,KRKC-11
35,KRKC-11/52,39.5,40.0,0.5,Leucogranite,10 to 15,1700.0,3660.1,48.63,12.5,813.87,7.55,69.91,4.13,1.36,<0.5,12.64,24.7,2.73,9.88,0.19,2.45,2.2,0.36,1.84,0.27,0.43,0.11,0.52,0.08,58.40000000000001,KRKC-11
1,KRKC-12/1,0.0,3.25,3.25,Silty soil,Not visible,95.0,204.535,23.16,9.02,189.15,2.65,19.35,3.7,138.3,0.61,34.65,70.48,7.25,27.5,1.14,5.36,4.52,0.85,4.63,0.89,2.47,0.38,2.42,0.37,162.90999999999997,KRKC-12
2,KRKC-12/3,4.5,5.0,0.5,Leucogranite,7 to 10,225.0,484.425,18.21,8.65,360.55,3.46,15.74,4.51,79.43,0.59,14.15,26.61,3.42,11.58,0.63,3.31,3.1,0.69,3.38,0.55,1.32,0.18,1.2,0.16,70.28,KRKC-12
3,KRKC-12/7,7.0,7.5,0.5,Leucogranite,7 to 10,240.0,516.72,54.03,9.83,374.07,5.04,18.63,6.26,3.93,<0.5,10.27,20.29,2.47,8.66,0.61,2.53,2.56,0.57,3.05,0.53,1.06,0.17,1.11,0.15,54.03,KRKC-12
4,KRKC-12/9,9.2,9.7,0.5,Leucogranite,7 to 8,215.0,462.895,51.14,11.16,363.54,3.16,16.51,3.94,2.27,<0.5,12.8,23.22,2.9,9.82,0.66,3.03,2.82,0.62,3.38,0.52,1.21,0.18,1.14,0.15,62.449999999999996,KRKC-12
5,KRKC-12/11,12.8,13.3,0.5,Leucogranite,7 to 8,200.0,430.6,66.33,17.38,369.03,3.31,15.9,7.19,3.46,<0.5,12.87,23.57,2.77,10.71,0.65,3.01,2.99,0.63,3.4,0.53,1.3,0.21,1.25,0.16,64.05,KRKC-12
6,KRKC-12/13,16.85,17.35,0.5,Leucogranite,7 to 8,210.0,452.13,63.04,26.36,358.31,3.82,15.7,8.28,2.41,<0.5,10.46,21.12,2.46,9.06,0.62,2.5,2.52,0.55,3.04,0.5,1.14,0.17,1.1,0.15,55.39,KRKC-12
7,KRKC-12/15,19.5,20.0,0.5,Leucogranite,7 to 8,235.0,505.955,51.34,38.48,365.78,2.97,10.43,5.46,2.46,<0.5,11.85,22.22,2.65,9.71,0.61,2.66,2.64,0.59,3.31,0.5,1.09,0.18,1.04,0.15,59.20000000000001,KRKC-12
