Sr No.,sample_id,from_m,to_m,width_m,lithology,li_mica_pct,li_ppm,li2o_pct,cs_ppm,be_ppm,rb_ppm,ta_ppm,nb_ppm,sn_ppm,w_ppm,mo_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,eu_ppm,sm_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,total_ree_ppm,borehole_id
5,KRKC-15/5,6.0,6.5,0.5,Leucogranite,10,230.0,495.19,48.67,18.41,387.25,3.41,16.21,6,2.28,<0.5,9.23,19.56,2.27,7.92,0.53,2.39,2.17,0.51,2.65,0.47,1.07,0.18,1.06,0.14,50.15,KRKC-15
6,KRKC-15/6,8.0,8.5,0.5,Leucogranite,10,250.0,538.25,41.58,66.44,452.6,8.87,16.12,5.82,1.97,<0.5,7.38,14.27,1.7,6.14,0.44,1.99,1.85,0.41,2.33,0.36,0.67,0.14,0.77,0.12,38.56999999999999,KRKC-15
7,KRKC-15/7,8.5,9.0,0.5,Leucogranite,10,215.0,462.895,54.24,9.35,362.67,3.2,15.25,8.86,2.69,<0.5,8.57,16.68,2.08,7.39,0.48,2.36,2.15,0.47,2.39,0.42,0.97,0.17,0.97,0.12,45.21999999999999,KRKC-15
8,KRKC-15/8,9.0,9.5,0.5,Leucogranite,10,230.0,495.19,49.07,29.1,390.51,3.38,16.5,7.79,2.98,<0.5,7.61,15.76,1.94,6.33,0.41,1.97,2.12,0.45,2.42,0.42,0.86,0.15,0.96,0.12,41.519999999999996,KRKC-15
9,KRKC-15/9,9.5,10.0,0.5,Leucogranite,10,180.0,387.54,31.81,11.61,366.32,3.57,15.74,4.63,1.73,<0.5,9.14,17.73,2.17,7.34,0.46,2.22,2.4,0.53,3.02,0.54,1.14,0.18,1.2,0.16,48.23,KRKC-15
10,KRKC-15/10,10.5,11.0,0.5,Pegmatite vein,No mica,85.0,183.005,29.22,132.67,378.47,27.48,31.57,6.28,1.85,<0.5,<1,<2,<0.1,,0.11,0.15,0.16,0.1,0.66,0.13,0.23,0.09,0.67,0.11,2.41,KRKC-15
11,KRKC-15/11,14.5,15.0,0.5,Leucogranite,5 to 7,185.0,398.305,41.58,10.85,363.91,3.19,14.64,6.03,2.4,<0.5,7.64,16.5,1.9,6.59,0.47,2.17,2.13,0.52,2.93,0.52,1.13,0.21,1.19,0.16,44.06,KRKC-15
12,KRKC-15/13,18.5,19.0,0.5,Leucogranite,5 to 7,210.0,452.13,38.92,10.33,363.04,3.89,15.55,5.16,3.36,<0.5,8.86,17.96,2.11,7.22,0.5,2.38,2.39,0.57,3.15,0.57,1.37,0.22,1.31,0.2,48.81,KRKC-15
13,KRKC-15/15,22.5,23.0,0.5,Leucogranite,7 to 10,255.0,549.015,47.73,9.93,372.21,3.37,14.57,6.55,2.61,<0.5,8.08,16.49,2,6.57,0.52,2.53,2.45,0.65,3.75,0.66,1.67,0.28,1.79,0.23,47.67,KRKC-15
14,KRKC-15/16,26.5,27.0,0.5,Leucogranite,7 to 10,255.0,549.015,42.57,9.03,371.87,3.33,15.73,4.49,1.56,<0.5,7.61,14.76,1.85,6.33,0.44,1.92,2.05,0.44,2.45,0.43,0.84,0.17,0.98,0.13,40.400000000000006,KRKC-15
15,KRKC-15/18,31.0,31.5,0.5,Leucogranite,5 to 7,205.0,441.365,77.82,8.51,358.12,3.73,17.55,6.94,2,<0.5,8.05,17.03,1.89,6.96,0.5,2.16,2.32,0.54,2.91,0.5,1.06,0.2,1.1,0.15,45.370000000000005,KRKC-15
16,KRKC-15/19,35.0,35.5,0.5,Leucogranite,5 to 7,210.0,452.13,64.47,12.62,403.68,3.38,16.0,4.91,2.99,<0.5,9.3,18.4,2.15,7.17,0.49,2.31,2.13,0.48,2.74,0.43,1.14,0.18,1.03,0.16,48.11,KRKC-15
17,KRKC-15/20,39.5,40.0,0.5,Leucogranite,7,165.0,355.245,2.06,10.3,440.89,3.05,15.18,2.88,<0.5,3.82,8.74,17.39,2.04,7.11,0.5,2.08,2.13,0.52,2.52,0.45,0.88,0.19,1.01,0.14,45.70000000000001,KRKC-15
